t,value
1572280468,24
1572280471,40
1572280475,54
1572280477,56
1572280480,54
1572280483,52
1572280486,52
1572280489,50
1572280492,50
1572280495,50
1572280498,50
1572280501,50
1572280504,49
1572280507,49
1572280510,49
1572280513,53
1572280516,52
1572280519,51
1572280522,51
1572280525,50
1572280528,50
1572280531,50
1572280534,49
1572280537,49
1572280540,49
1572280543,48
1572280546,48
1572280549,48
1572280552,50
1572280555,50
1572280558,50
1572280561,49
1572280564,48
1572280567,50
1572280570,50
1572280573,52
1572280576,51
1572280579,50
1572280582,50
1572280585,49
1572280588,49
1572280591,48
1572280594,51
1572280597,50
1572280600,49
1572280603,49
1572280606,48
1572280609,48
1572280612,48
1572280615,48
1572280618,49
1572280621,49
1572280624,48
1572280627,49
1572280630,49
1572280633,49
1572280636,49
1572280639,48
1572280642,48
1572280645,47
1572280648,49
1572280651,49
1572280654,47
1572280657,47
1572280660,47
1572280663,46
1572280666,46
1572280669,48
1572280672,48
1572280675,47
1572280678,47
1572280681,46
1572280684,46
1572280687,48
1572280690,48
1572280693,47
1572280696,47
1572280699,47
1572280702,46
1572280705,46
1572280708,46
1572280711,46
1572280714,50
1572280717,49
1572280720,48
1572280723,48
1572280726,47
1572280729,47
1572280732,47
1572280735,47
1572280738,47
1572280741,47
1572280744,46
1572280747,46
1572280750,46
1572280753,49
1572280756,49
1572280759,48
1572280762,48
1572280765,47
1572280768,47
1572280771,47
1572280774,49
1572280777,48
1572280780,47
1572280783,47
1572280786,46
1572280789,46
1572280792,46
1572280795,46
1572280798,46
1572280801,46
1572280804,45
1572280807,45
1572280810,45
1572280813,48
1572280816,48
1572280819,47
1572280822,47
1572280825,46
1572280828,46
1572280831,46
1572280834,48
1572280837,48
1572280840,47
1572280843,47
1572280846,46
1572280849,46
1572280852,45
1572280855,49
1572280858,48
1572280861,47
1572280864,47
1572280867,46
1572280870,46
1572280873,46
1572280876,46
1572280879,46
1572280882,45
1572280885,45
1572280888,45
1572280891,45
1572280894,46
1572280897,46
1572280900,46
1572280903,45
1572280906,45
1572280909,45
1572280912,45
1572280915,48
1572280918,47
1572280921,47
1572280924,46
1572280927,46
1572280930,46
1572280933,46
1572280936,46
1572280939,46
1572280942,45
1572280945,45
1572280948,45
1572280951,45
1572280954,47
1572280957,47
1572280960,46
1572280963,46
1572280966,46
1572280969,45
1572280972,45
1572280975,48
1572280978,47
1572280981,47
1572280984,46
1572280987,46
1572280990,46
1572280993,48
1572280996,48
1572280999,47
1572281002,46
1572281005,46
1572281008,45
1572281011,47
1572281014,47
1572281017,47
1572281020,47
1572281023,46
1572281026,45
1572281029,45
1572281032,45
1572281035,50
1572281038,49
1572281041,49
1572281044,47
1572281047,47
1572281050,46
1572281053,46
1572281056,47
1572281059,47
1572281062,47
1572281065,47
1572281068,47
1572281071,45
1572281074,47
1572281077,47
1572281080,46
1572281083,46
1572281086,46
1572281089,45
1572281092,45
1572281095,47
1572281098,47
1572281101,46
1572281104,46
1572281107,46
1572281110,45
1572281113,47
1572281116,47
1572281119,47
1572281122,46
1572281125,46
1572281128,45
1572281131,45
1572281134,47
1572281137,47
1572281140,46
1572281143,46
1572281146,46
1572281149,45
1572281152,45
1572281155,47
1572281158,48
1572281161,48
1572281164,48
1572281167,48
1572281170,48
1572281173,48
1572281176,47
1572281179,48
1572281182,48
1572281185,46
1572281188,46
1572281191,46
1572281194,47
1572281197,47
1572281200,46
1572281203,46
1572281206,46
1572281209,45
1572281212,45
1572281215,47
1572281218,47
1572281221,46
1572281224,46
1572281227,46
1572281230,45
1572281233,47
1572281236,47
1572281239,48
1572281242,48
