t,value
1572280468,7327584
1572280471,9475184
1572280475,10491736
1572280477,10582888
1572280480,10582888
1572280483,10582888
1572280486,10582888
1572280489,10582888
1572280492,10582888
1572280495,10587440
1572280498,10587440
1572280501,10587440
1572280504,10587440
1572280507,10587440
1572280510,10587440
1572280513,10587440
1572280516,10587440
1572280519,10587440
1572280522,10587440
1572280525,10588040
1572280528,10588040
1572280531,10588040
1572280534,10588040
1572280537,10588040
1572280540,10588040
1572280543,10588040
1572280546,10588040
1572280549,10588040
1572280552,10607800
1572280555,10607800
1572280558,10607800
1572280561,10607800
1572280564,10607800
1572280567,10607800
1572280570,10607800
1572280573,10607800
1572280576,10607800
1572280579,10607800
1572280582,10607800
1572280585,10607800
1572280588,10607800
1572280591,10607800
1572280594,10607800
1572280597,10607800
1572280600,10607800
1572280603,10607800
1572280606,10607800
1572280609,10607800
1572280612,10607800
1572280615,10619392
1572280618,10619392
1572280621,10619392
1572280624,10619392
1572280627,10619392
1572280630,10619392
1572280633,10619392
1572280636,10619392
1572280639,10619392
1572280642,10619392
1572280645,10619392
1572280648,10619392
1572280651,10619392
1572280654,10619392
1572280657,10619392
1572280660,10619392
1572280663,10619392
1572280666,10619392
1572280669,10619392
1572280672,10619392
1572280675,10619392
1572280678,10619392
1572280681,10619392
1572280684,10619392
1572280687,10619392
1572280690,10619392
1572280693,10619392
1572280696,10619392
1572280699,10619392
1572280702,10619392
1572280705,10619392
1572280708,10619392
1572280711,10619392
1572280714,10619392
1572280717,10619392
1572280720,10619392
1572280723,10619392
1572280726,10619392
1572280729,10619392
1572280732,10619392
1572280735,10619392
1572280738,10619392
1572280741,10619392
1572280744,10619392
1572280747,10619392
1572280750,10619392
1572280753,10619392
1572280756,10619392
1572280759,10619392
1572280762,10619392
1572280765,10619392
1572280768,10619392
1572280771,10619392
1572280774,10619392
1572280777,10619392
1572280780,10619392
1572280783,10619392
1572280786,10619392
1572280789,10619392
1572280792,10619392
1572280795,10619392
1572280798,10619392
1572280801,10619392
