t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1572280468,1,0.312818,0.000000,0.000000,0.000000,events/second
1572280471,1,0.164024,0.000000,0.000000,0.000000,events/second
1572280475,17,1.834472,0.000000,0.000000,0.000000,events/second
1572280477,21,1.741340,0.000000,0.000000,0.000000,events/second
1572280480,21,1.393443,0.000000,0.000000,0.000000,events/second
1572280483,21,1.160611,0.000000,0.000000,0.000000,events/second
1572280486,21,0.997408,0.000000,0.000000,0.000000,events/second
1572280489,21,0.871861,0.000000,0.000000,0.000000,events/second
1572280492,21,0.775747,0.000000,0.000000,0.000000,events/second
1572280495,29,0.964170,0.000000,0.000000,0.000000,events/second
1572280498,29,0.875839,0.000000,0.000000,0.000000,events/second
1572280501,29,0.803772,0.000000,0.000000,0.000000,events/second
1572280504,29,0.742949,0.000000,0.000000,0.000000,events/second
1572280507,29,0.689185,0.000000,0.000000,0.000000,events/second
1572280510,29,0.643397,0.000000,0.000000,0.000000,events/second
1572280513,37,0.770050,0.000000,0.000000,0.000000,events/second
1572280516,37,0.724780,0.000000,0.000000,0.000000,events/second
1572280519,37,0.684508,0.000000,0.000000,0.000000,events/second
1572280522,37,0.648302,0.000000,0.000000,0.000000,events/second
1572280525,37,0.615804,0.000000,0.000000,0.000000,events/second
1572280528,37,0.586843,0.000000,0.000000,0.000000,events/second
1572280531,37,0.559993,0.000000,0.000000,0.000000,events/second
1572280534,45,0.651341,0.000000,0.000000,0.000000,events/second
1572280537,45,0.624414,0.000000,0.000000,0.000000,events/second
1572280540,45,0.599558,0.000000,0.000000,0.000000,events/second
1572280543,45,0.576438,0.000000,0.000000,0.000000,events/second
1572280546,45,0.555213,0.000000,0.000000,0.000000,events/second
1572280549,45,0.535315,0.000000,0.000000,0.000000,events/second
1572280552,48,0.551230,0.000000,0.000000,0.000000,events/second
1572280555,58,0.644037,0.000000,0.000000,0.000000,events/second
1572280558,58,0.623080,0.000000,0.000000,0.000000,events/second
1572280561,58,0.603812,0.000000,0.000000,0.000000,events/second
1572280564,58,0.585543,0.000000,0.000000,0.000000,events/second
1572280567,60,0.587833,0.000000,0.000000,0.000000,events/second
1572280570,61,0.580721,0.000000,0.000000,0.000000,events/second
1572280573,69,0.638781,0.000000,0.000000,0.000000,events/second
1572280576,69,0.621184,0.000000,0.000000,0.000000,events/second
1572280579,69,0.604846,0.000000,0.000000,0.000000,events/second
1572280582,69,0.589295,0.000000,0.000000,0.000000,events/second
1572280585,69,0.574790,0.000000,0.000000,0.000000,events/second
1572280588,69,0.560706,0.000000,0.000000,0.000000,events/second
1572280591,69,0.547362,0.000000,0.000000,0.000000,events/second
1572280594,77,0.596460,0.000000,0.000000,0.000000,events/second
1572280597,77,0.583172,0.000000,0.000000,0.000000,events/second
1572280600,77,0.570044,0.000000,0.000000,0.000000,events/second
1572280603,77,0.557712,0.000000,0.000000,0.000000,events/second
1572280606,77,0.545853,0.000000,0.000000,0.000000,events/second
1572280609,77,0.534389,0.000000,0.000000,0.000000,events/second
1572280612,77,0.523758,0.000000,0.000000,0.000000,events/second
1572280615,85,0.566403,0.000000,0.000000,0.000000,events/second
1572280618,87,0.568378,0.000000,0.000000,0.000000,events/second
1572280621,87,0.557446,0.000000,0.000000,0.000000,events/second
1572280624,87,0.546925,0.000000,0.000000,0.000000,events/second
