t,value
1572280468,7340040
1572280471,7864320
1572280475,7864320
1572280477,10527232
1572280480,10527232
1572280483,10527232
1572280486,10527232
1572280489,10527232
1572280492,10527232
1572280495,10527232
1572280498,10527232
1572280501,10527232
1572280504,10527232
1572280507,10527232
1572280510,10527232
1572280513,10527232
1572280516,10527232
1572280519,10527232
1572280522,10527232
1572280525,10527232
1572280528,10527232
1572280531,10527232
1572280534,10527232
1572280537,10527232
1572280540,10527232
1572280543,10527232
1572280546,10527232
1572280549,10527232
1572280552,10527232
1572280555,10527232
1572280558,10527232
1572280561,10527232
1572280564,10527232
1572280567,10527232
1572280570,10527232
1572280573,10527232
1572280576,10527232
1572280579,10527232
1572280582,10527232
1572280585,10527232
1572280588,10527232
1572280591,10527232
1572280594,10527232
1572280597,10527232
1572280600,10527232
1572280603,10527232
1572280606,10527232
1572280609,10527232
1572280612,10527232
1572280615,10527232
1572280618,10527232
1572280621,10527232
1572280624,10527232
1572280627,10527232
1572280630,10527232
1572280633,10527232
1572280636,10527232
1572280639,10527232
1572280642,10527232
1572280645,10527232
1572280648,10527232
1572280651,10527232
1572280654,10527232
1572280657,10527232
1572280660,10527232
1572280663,10527232
1572280666,10527232
1572280669,10527232
1572280672,10527232
1572280675,10527232
1572280678,10527232
1572280681,10527232
1572280684,10527232
1572280687,10527232
1572280690,10527232
1572280693,10527232
1572280696,10527232
1572280699,10527232
1572280702,10527232
1572280705,10527232
1572280708,10527232
1572280711,10527232
1572280714,10527232
1572280717,10527232
1572280720,10527232
1572280723,10527232
1572280726,10527232
1572280729,10527232
1572280732,10527232
1572280735,10527232
1572280738,10527232
1572280741,10527232
1572280744,10527232
1572280747,10527232
1572280750,10527232
1572280753,10527232
1572280756,10527232
1572280759,10527232
1572280762,10527232
1572280765,10527232
1572280768,10527232
1572280771,10527232
1572280774,10527232
1572280777,10527232
1572280780,10527232
1572280783,10527232
1572280786,10527232
1572280789,10527232
1572280792,10527232
1572280795,10527232
1572280798,10527232
1572280801,10527232
1572280804,10527232
1572280807,10527232
1572280810,10527232
1572280813,10527232
1572280816,10527232
1572280819,10527232
1572280822,10527232
1572280825,10527232
1572280828,10527232
1572280831,10527232
1572280834,10527232
1572280837,10527232
1572280840,10527232
1572280843,10527232
1572280846,10527232
1572280849,10527232
1572280852,10527232
1572280855,10527232
1572280858,10527232
1572280861,10527232
1572280864,10527232
1572280867,10527232
1572280870,10527232
1572280873,10527232
1572280876,10527232
1572280879,10527232
1572280882,10527232
1572280885,10527232
1572280888,10527232
1572280891,10527232
1572280894,10527232
1572280897,10527232
1572280900,10527232
1572280903,10527232
1572280906,10527232
1572280909,10527232
1572280912,10527232
1572280915,10527232
1572280918,10527232
1572280921,10527232
1572280924,10527232
1572280927,10527232
1572280930,10527232
1572280933,10527232
1572280936,10527232
1572280939,10527232
1572280942,10527232
1572280945,10527232
1572280948,10527232
1572280951,10527232
1572280954,10527232
1572280957,10527232
1572280960,10527232
1572280963,10527232
1572280966,10527232
1572280969,10527232
1572280972,10527232
1572280975,10527232
1572280978,10527232
1572280981,10527232
1572280984,10527232
1572280987,10527232
1572280990,10527232
1572280993,10527232
1572280996,10527232
1572280999,10527232
1572281002,10527232
1572281005,10527232
1572281008,10527232
1572281011,10527232
1572281014,10527232
1572281017,25613832
1572281020,25613832
1572281023,25613832
1572281026,25613832
1572281029,25613832
1572281032,25613832
1572281035,25613832
1572281038,25613832
1572281041,25613832
1572281044,25613832
1572281047,25613832
1572281050,25613832
1572281053,25613832
1572281056,25613832
1572281059,25613832
1572281062,25613832
1572281065,25613832
1572281068,25613832
1572281071,25613832
1572281074,25613832
1572281077,25613832
1572281080,25613832
1572281083,25613832
1572281086,25613832
1572281089,25613832
1572281092,25613832
1572281095,25613832
1572281098,25613832
1572281101,25613832
1572281104,25613832
1572281107,25613832
1572281110,25613832
1572281113,25613832
1572281116,25613832
1572281119,25613832
1572281122,25613832
1572281125,25613832
1572281128,25613832
1572281131,25613832
1572281134,25613832
1572281137,25613832
1572281140,25613832
1572281143,25613832
1572281146,25613832
1572281149,25613832
1572281152,25613832
1572281155,25613832
1572281158,25613832
1572281161,25613832
1572281164,25613832
1572281167,25613832
1572281170,25613832
1572281173,25613832
1572281176,25613832
1572281179,25613832
1572281182,25613832
1572281185,25613832
1572281188,25613832
1572281191,25613832
1572281194,25613832
1572281197,25613832
1572281200,25613832
1572281203,25613832
1572281206,25613832
1572281209,25613832
1572281212,25613832
1572281215,25613832
1572281218,25613832
1572281221,25613832
1572281224,25613832
1572281227,25613832
1572281230,25613832
1572281233,25613832
1572281236,25613832
1572281239,25613832
1572281242,25613832
1572281245,25613832
1572281248,25613832
1572281251,25613832
1572281254,25613832
1572281257,25613832
1572281260,25613832
1572281263,25613832
1572281266,25613832
1572281269,25613832
1572281272,25613832
1572281275,25613832
1572281278,25613832
1572281281,25613832
1572281284,25613832
1572281287,25613832
1572281290,25613832
1572281293,25613832
1572281296,25613832
1572281299,25613832
1572281302,25613832
1572281305,25613832
1572281308,25613832
1572281311,25613832
1572281314,25613832
1572281317,25613832
1572281320,25613832
1572281323,25613832
1572281326,25613832
1572281329,25613832
1572281332,25613832
1572281335,25613832
1572281338,25613832
1572281341,25613832
1572281344,25613832
1572281347,25613832
1572281350,25613832
1572281353,25613832
1572281356,25613832
1572281359,25613832
1572281362,25613832
t,value
1572281381,27787280
1572281384,47710224
1572281387,47710224
1572281390,47710224
1572281393,47710224
1572281396,47710224
1572281399,47710224
1572281402,47710224
1572281405,47710224
1572281408,47710224
1572281411,47710224
1572281414,47710224
1572281417,47710224
1572281420,47710224
1572281423,47710224
1572281426,47710728
1572281429,47710728
1572281432,47710728
1572281435,47710728
1572281438,47710728
1572281441,47710728
1572281444,47710728
1572281447,47710728
1572281450,47710728
1572281453,47710728
1572281456,47710728
1572281459,47710728
1572281462,47710728
1572281465,47710728
1572281468,47710728
1572281471,47710728
1572281474,47710728
1572281477,47710728
1572281480,47710728
1572281483,47710728
