t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1572280468,1,0.314099,0.000000,0.000000,0.000000,events/second
1572280471,1,0.164116,0.000000,0.000000,0.000000,events/second
1572280475,4,0.436777,0.000000,0.000000,0.000000,events/second
1572280477,4,0.331773,0.000000,0.000000,0.000000,events/second
1572280480,4,0.265488,0.000000,0.000000,0.000000,events/second
1572280483,4,0.221111,0.000000,0.000000,0.000000,events/second
1572280486,4,0.190015,0.000000,0.000000,0.000000,events/second
1572280489,4,0.166105,0.000000,0.000000,0.000000,events/second
1572280492,4,0.147778,0.000000,0.000000,0.000000,events/second
1572280495,4,0.133012,0.000000,0.000000,0.000000,events/second
1572280498,4,0.120831,0.000000,0.000000,0.000000,events/second
1572280501,4,0.110880,0.000000,0.000000,0.000000,events/second
1572280504,4,0.102481,0.000000,0.000000,0.000000,events/second
1572280507,4,0.095079,0.000000,0.000000,0.000000,events/second
1572280510,4,0.088756,0.000000,0.000000,0.000000,events/second
1572280513,4,0.083253,0.000000,0.000000,0.000000,events/second
1572280516,4,0.078359,0.000000,0.000000,0.000000,events/second
1572280519,4,0.074007,0.000000,0.000000,0.000000,events/second
1572280522,4,0.070091,0.000000,0.000000,0.000000,events/second
1572280525,4,0.066579,0.000000,0.000000,0.000000,events/second
1572280528,4,0.063445,0.000000,0.000000,0.000000,events/second
1572280531,4,0.060547,0.000000,0.000000,0.000000,events/second
1572280534,4,0.057901,0.000000,0.000000,0.000000,events/second
1572280537,4,0.055507,0.000000,0.000000,0.000000,events/second
1572280540,4,0.053295,0.000000,0.000000,0.000000,events/second
1572280543,4,0.051242,0.000000,0.000000,0.000000,events/second
1572280546,4,0.049355,0.000000,0.000000,0.000000,events/second
1572280549,4,0.047586,0.000000,0.000000,0.000000,events/second
1572280552,4,0.045941,0.000000,0.000000,0.000000,events/second
1572280555,4,0.044418,0.000000,0.000000,0.000000,events/second
1572280558,4,0.042974,0.000000,0.000000,0.000000,events/second
1572280561,4,0.041646,0.000000,0.000000,0.000000,events/second
1572280564,4,0.040384,0.000000,0.000000,0.000000,events/second
1572280567,4,0.039192,0.000000,0.000000,0.000000,events/second
1572280570,4,0.038081,0.000000,0.000000,0.000000,events/second
1572280573,4,0.037032,0.000000,0.000000,0.000000,events/second
1572280576,4,0.036013,0.000000,0.000000,0.000000,events/second
1572280579,4,0.035066,0.000000,0.000000,0.000000,events/second
1572280582,4,0.034163,0.000000,0.000000,0.000000,events/second
1572280585,4,0.033322,0.000000,0.000000,0.000000,events/second
1572280588,4,0.032505,0.000000,0.000000,0.000000,events/second
1572280591,4,0.031732,0.000000,0.000000,0.000000,events/second
1572280594,4,0.030986,0.000000,0.000000,0.000000,events/second
1572280597,4,0.030296,0.000000,0.000000,0.000000,events/second
1572280600,4,0.029614,0.000000,0.000000,0.000000,events/second
1572280603,4,0.028973,0.000000,0.000000,0.000000,events/second
1572280606,4,0.028357,0.000000,0.000000,0.000000,events/second
1572280609,4,0.027761,0.000000,0.000000,0.000000,events/second
1572280612,4,0.027208,0.000000,0.000000,0.000000,events/second
1572280615,4,0.026655,0.000000,0.000000,0.000000,events/second
1572280618,4,0.026133,0.000000,0.000000,0.000000,events/second
1572280621,4,0.025631,0.000000,0.000000,0.000000,events/second
1572280624,4,0.025146,0.000000,0.000000,0.000000,events/second
1572280627,4,0.024682,0.000000,0.000000,0.000000,events/second
1572280630,4,0.024234,0.000000,0.000000,0.000000,events/second
1572280633,4,0.023802,0.000000,0.000000,0.000000,events/second
1572280636,4,0.023383,0.000000,0.000000,0.000000,events/second
1572280639,4,0.022980,0.000000,0.000000,0.000000,events/second
1572280642,4,0.022593,0.000000,0.000000,0.000000,events/second
1572280645,4,0.022217,0.000000,0.000000,0.000000,events/second
1572280648,4,0.021857,0.000000,0.000000,0.000000,events/second
1572280651,4,0.021492,0.000000,0.000000,0.000000,events/second
1572280654,4,0.021156,0.000000,0.000000,0.000000,events/second
1572280657,4,0.020826,0.000000,0.000000,0.000000,events/second
1572280660,4,0.020508,0.000000,0.000000,0.000000,events/second
1572280663,4,0.020196,0.000000,0.000000,0.000000,events/second
1572280666,4,0.019897,0.000000,0.000000,0.000000,events/second
1572280669,4,0.019602,0.000000,0.000000,0.000000,events/second
1572280672,4,0.019319,0.000000,0.000000,0.000000,events/second
1572280675,4,0.019043,0.000000,0.000000,0.000000,events/second
1572280678,4,0.018775,0.000000,0.000000,0.000000,events/second
1572280681,4,0.018513,0.000000,0.000000,0.000000,events/second
1572280684,4,0.018260,0.000000,0.000000,0.000000,events/second
1572280687,4,0.018014,0.000000,0.000000,0.000000,events/second
1572280690,4,0.017773,0.000000,0.000000,0.000000,events/second
1572280693,4,0.017537,0.000000,0.000000,0.000000,events/second
1572280696,4,0.017315,0.000000,0.000000,0.000000,events/second
1572280699,4,0.017094,0.000000,0.000000,0.000000,events/second
1572280702,4,0.016874,0.000000,0.000000,0.000000,events/second
1572280705,4,0.016664,0.000000,0.000000,0.000000,events/second
1572280708,4,0.016457,0.000000,0.000000,0.000000,events/second
1572280711,4,0.016257,0.000000,0.000000,0.000000,events/second
1572280714,4,0.016060,0.000000,0.000000,0.000000,events/second
1572280717,4,0.015869,0.000000,0.000000,0.000000,events/second
1572280720,4,0.015683,0.000000,0.000000,0.000000,events/second
1572280723,4,0.015500,0.000000,0.000000,0.000000,events/second
1572280726,4,0.015322,0.000000,0.000000,0.000000,events/second
1572280729,4,0.015149,0.000000,0.000000,0.000000,events/second
1572280732,4,0.014978,0.000000,0.000000,0.000000,events/second
1572280735,4,0.014814,0.000000,0.000000,0.000000,events/second
1572280738,4,0.014652,0.000000,0.000000,0.000000,events/second
1572280741,4,0.014490,0.000000,0.000000,0.000000,events/second
1572280744,4,0.014334,0.000000,0.000000,0.000000,events/second
1572280747,4,0.014183,0.000000,0.000000,0.000000,events/second
1572280750,4,0.014034,0.000000,0.000000,0.000000,events/second
1572280753,4,0.013886,0.000000,0.000000,0.000000,events/second
1572280756,4,0.013745,0.000000,0.000000,0.000000,events/second
1572280759,4,0.013602,0.000000,0.000000,0.000000,events/second
1572280762,4,0.013465,0.000000,0.000000,0.000000,events/second
1572280765,4,0.013332,0.000000,0.000000,0.000000,events/second
1572280768,4,0.013201,0.000000,0.000000,0.000000,events/second
1572280771,4,0.013071,0.000000,0.000000,0.000000,events/second
1572280774,4,0.012943,0.000000,0.000000,0.000000,events/second
1572280777,4,0.012818,0.000000,0.000000,0.000000,events/second
1572280780,4,0.012698,0.000000,0.000000,0.000000,events/second
1572280783,4,0.012577,0.000000,0.000000,0.000000,events/second
1572280786,4,0.012459,0.000000,0.000000,0.000000,events/second
1572280789,4,0.012344,0.000000,0.000000,0.000000,events/second
1572280792,4,0.012231,0.000000,0.000000,0.000000,events/second
1572280795,4,0.012121,0.000000,0.000000,0.000000,events/second
1572280798,4,0.012012,0.000000,0.000000,0.000000,events/second
1572280801,4,0.011903,0.000000,0.000000,0.000000,events/second
1572280804,4,0.011798,0.000000,0.000000,0.000000,events/second
1572280807,4,0.011693,0.000000,0.000000,0.000000,events/second
1572280810,4,0.011594,0.000000,0.000000,0.000000,events/second
1572280813,4,0.011491,0.000000,0.000000,0.000000,events/second
1572280816,4,0.011395,0.000000,0.000000,0.000000,events/second
1572280819,4,0.011298,0.000000,0.000000,0.000000,events/second
1572280822,4,0.011202,0.000000,0.000000,0.000000,events/second
1572280825,4,0.011109,0.000000,0.000000,0.000000,events/second
1572280828,4,0.011019,0.000000,0.000000,0.000000,events/second
1572280831,4,0.010927,0.000000,0.000000,0.000000,events/second
1572280834,4,0.010840,0.000000,0.000000,0.000000,events/second
1572280837,4,0.010751,0.000000,0.000000,0.000000,events/second
1572280840,4,0.010665,0.000000,0.000000,0.000000,events/second
1572280843,4,0.010580,0.000000,0.000000,0.000000,events/second
1572280846,4,0.010496,0.000000,0.000000,0.000000,events/second
1572280849,4,0.010416,0.000000,0.000000,0.000000,events/second
1572280852,4,0.010334,0.000000,0.000000,0.000000,events/second
