t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1572280468,14,4.495015,0.000000,0.000000,0.000000,events/second
1572280471,14,2.318631,0.000000,0.000000,0.000000,events/second
1572280475,14,1.532146,0.000000,0.000000,0.000000,events/second
1572280477,14,1.163727,0.000000,0.000000,0.000000,events/second
1572280480,14,0.930748,0.000000,0.000000,0.000000,events/second
1572280483,14,0.775564,0.000000,0.000000,0.000000,events/second
1572280486,14,0.665837,0.000000,0.000000,0.000000,events/second
1572280489,14,0.581996,0.000000,0.000000,0.000000,events/second
1572280492,14,0.517622,0.000000,0.000000,0.000000,events/second
1572280495,14,0.465941,0.000000,0.000000,0.000000,events/second
1572280498,14,0.423357,0.000000,0.000000,0.000000,events/second
1572280501,14,0.388345,0.000000,0.000000,0.000000,events/second
1572280504,14,0.358850,0.000000,0.000000,0.000000,events/second
1572280507,14,0.333028,0.000000,0.000000,0.000000,events/second
1572280510,14,0.310829,0.000000,0.000000,0.000000,events/second
1572280513,14,0.291508,0.000000,0.000000,0.000000,events/second
1572280516,14,0.274364,0.000000,0.000000,0.000000,events/second
1572280519,14,0.259128,0.000000,0.000000,0.000000,events/second
1572280522,14,0.245447,0.000000,0.000000,0.000000,events/second
1572280525,14,0.233177,0.000000,0.000000,0.000000,events/second
1572280528,14,0.222139,0.000000,0.000000,0.000000,events/second
1572280531,14,0.212000,0.000000,0.000000,0.000000,events/second
1572280534,14,0.202738,0.000000,0.000000,0.000000,events/second
1572280537,14,0.194346,0.000000,0.000000,0.000000,events/second
1572280540,14,0.186595,0.000000,0.000000,0.000000,events/second
1572280543,14,0.179405,0.000000,0.000000,0.000000,events/second
1572280546,14,0.172794,0.000000,0.000000,0.000000,events/second
1572280549,14,0.166603,0.000000,0.000000,0.000000,events/second
1572280552,14,0.160845,0.000000,0.000000,0.000000,events/second
1572280555,14,0.155501,0.000000,0.000000,0.000000,events/second
1572280558,14,0.150449,0.000000,0.000000,0.000000,events/second
1572280561,14,0.145803,0.000000,0.000000,0.000000,events/second
1572280564,14,0.141378,0.000000,0.000000,0.000000,events/second
1572280567,14,0.137205,0.000000,0.000000,0.000000,events/second
1572280570,14,0.133306,0.000000,0.000000,0.000000,events/second
1572280573,14,0.129634,0.000000,0.000000,0.000000,events/second
1572280576,14,0.126074,0.000000,0.000000,0.000000,events/second
1572280579,14,0.122762,0.000000,0.000000,0.000000,events/second
1572280582,14,0.119601,0.000000,0.000000,0.000000,events/second
1572280585,14,0.116648,0.000000,0.000000,0.000000,events/second
1572280588,14,0.113788,0.000000,0.000000,0.000000,events/second
1572280591,14,0.111083,0.000000,0.000000,0.000000,events/second
