t,value
1572280468,-1
1572280471,1
1572280475,4
1572280477,4
1572280480,4
1572280483,4
1572280486,4
1572280489,4
1572280492,4
1572280495,4
1572280498,4
1572280501,4
1572280504,4
1572280507,4
1572280510,4
1572280513,4
1572280516,4
1572280519,4
1572280522,4
1572280525,4
1572280528,4
1572280531,4
1572280534,4
1572280537,4
1572280540,4
1572280543,4
1572280546,4
1572280549,4
1572280552,4
1572280555,4
1572280558,4
1572280561,4
1572280564,4
1572280567,4
1572280570,4
1572280573,4
1572280576,4
1572280579,4
1572280582,4
1572280585,4
1572280588,4
1572280591,4
1572280594,3
1572280597,3
1572280600,3
1572280603,3
1572280606,3
1572280609,3
1572280612,3
1572280615,3
1572280618,3
1572280621,3
1572280624,3
1572280627,3
1572280630,3
1572280633,3
1572280636,3
1572280639,3
1572280642,3
1572280645,3
1572280648,3
1572280651,3
1572280654,2
1572280657,2
1572280660,2
1572280663,2
1572280666,2
1572280669,2
1572280672,2
1572280675,2
1572280678,2
1572280681,2
1572280684,2
1572280687,2
1572280690,2
1572280693,2
1572280696,2
1572280699,2
1572280702,2
1572280705,2
1572280708,2
1572280711,2
1572280714,2
1572280717,2
1572280720,2
1572280723,2
1572280726,2
1572280729,2
1572280732,2
1572280735,2
1572280738,2
1572280741,2
1572280744,2
1572280747,2
1572280750,2
1572280753,2
1572280756,2
1572280759,2
1572280762,2
1572280765,2
1572280768,2
1572280771,2
1572280774,2
1572280777,2
1572280780,2
1572280783,2
1572280786,2
1572280789,2
1572280792,2
1572280795,2
1572280798,2
1572280801,2
1572280804,2
1572280807,2
1572280810,2
1572280813,2
1572280816,2
1572280819,2
1572280822,2
1572280825,2
1572280828,2
1572280831,2
1572280834,2
1572280837,2
1572280840,2
1572280843,2
1572280846,2
1572280849,2
1572280852,2
1572280855,2
1572280858,2
1572280861,2
1572280864,2
1572280867,2
1572280870,2
1572280873,2
1572280876,2
1572280879,2
1572280882,2
1572280885,2
1572280888,2
1572280891,2
1572280894,2
1572280897,2
1572280900,2
1572280903,2
1572280906,2
1572280909,2
1572280912,2
1572280915,2
1572280918,2
1572280921,2
1572280924,2
1572280927,2
1572280930,2
1572280933,2
1572280936,2
1572280939,2
1572280942,2
1572280945,2
1572280948,2
1572280951,2
1572280954,2
1572280957,2
1572280960,2
1572280963,2
1572280966,2
1572280969,2
1572280972,2
1572280975,2
1572280978,2
1572280981,2
1572280984,2
1572280987,2
1572280990,2
1572280993,2
1572280996,2
1572280999,2
1572281002,2
1572281005,2
1572281008,2
1572281011,2
1572281014,2
1572281017,2
1572281020,2
1572281023,2
1572281026,2
1572281029,2
1572281032,2
1572281035,2
1572281038,2
1572281041,2
1572281044,2
1572281047,2
1572281050,2
1572281053,2
1572281056,2
1572281059,2
1572281062,2
1572281065,2
1572281068,2
1572281071,2
1572281074,2
1572281077,2
1572281080,2
1572281083,2
1572281086,2
1572281089,2
1572281092,2
1572281095,2
1572281098,2
1572281101,2
1572281104,2
1572281107,2
1572281110,2
1572281113,2
1572281116,2
1572281119,2
1572281122,2
1572281125,2
1572281128,2
1572281131,2
1572281134,2
1572281137,2
1572281140,2
1572281143,2
1572281146,2
1572281149,2
1572281152,2
1572281155,2
1572281158,2
1572281161,2
1572281164,2
1572281167,2
1572281170,2
1572281173,2
1572281176,2
1572281179,2
1572281182,2
1572281185,2
1572281188,2
1572281191,2
1572281194,2
1572281197,2
1572281200,2
1572281203,2
1572281206,2
1572281209,2
1572281212,2
1572281215,2
1572281218,2
1572281221,2
1572281224,2
1572281227,2
1572281230,2
1572281233,2
1572281236,2
1572281239,2
1572281242,2
1572281245,2
1572281248,2
1572281251,2
1572281254,2
1572281257,2
1572281260,2
1572281263,2
1572281266,2
1572281269,2
1572281272,2
1572281275,2
1572281278,2
1572281281,2
1572281284,2
1572281287,2
1572281290,2
1572281293,2
1572281296,2
1572281299,2
1572281302,2
1572281305,2
