t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1572280468,0,0.000000,0.000000,0.000000,0.000000,events/second
1572280471,0,0.000000,0.000000,0.000000,0.000000,events/second
1572280475,2,0.219592,0.000000,0.000000,0.000000,events/second
1572280477,2,0.166710,0.000000,0.000000,0.000000,events/second
1572280480,2,0.133308,0.000000,0.000000,0.000000,events/second
1572280483,2,0.111091,0.000000,0.000000,0.000000,events/second
1572280486,2,0.095276,0.000000,0.000000,0.000000,events/second
1572280489,2,0.083341,0.000000,0.000000,0.000000,events/second
1572280492,2,0.074058,0.000000,0.000000,0.000000,events/second
1572280495,2,0.066690,0.000000,0.000000,0.000000,events/second
1572280498,2,0.060576,0.000000,0.000000,0.000000,events/second
1572280501,2,0.055561,0.000000,0.000000,0.000000,events/second
1572280504,2,0.051306,0.000000,0.000000,0.000000,events/second
1572280507,2,0.047623,0.000000,0.000000,0.000000,events/second
1572280510,2,0.044448,0.000000,0.000000,0.000000,events/second
1572280513,2,0.041671,0.000000,0.000000,0.000000,events/second
1572280516,2,0.039222,0.000000,0.000000,0.000000,events/second
1572280519,2,0.037042,0.000000,0.000000,0.000000,events/second
1572280522,2,0.035091,0.000000,0.000000,0.000000,events/second
1572280525,2,0.033336,0.000000,0.000000,0.000000,events/second
1572280528,2,0.031750,0.000000,0.000000,0.000000,events/second
1572280531,2,0.030304,0.000000,0.000000,0.000000,events/second
1572280534,2,0.028986,0.000000,0.000000,0.000000,events/second
1572280537,2,0.027780,0.000000,0.000000,0.000000,events/second
1572280540,2,0.026668,0.000000,0.000000,0.000000,events/second
1572280543,2,0.025643,0.000000,0.000000,0.000000,events/second
1572280546,2,0.024694,0.000000,0.000000,0.000000,events/second
1572280549,2,0.023813,0.000000,0.000000,0.000000,events/second
1572280552,2,0.022990,0.000000,0.000000,0.000000,events/second
1572280555,2,0.022223,0.000000,0.000000,0.000000,events/second
1572280558,2,0.021503,0.000000,0.000000,0.000000,events/second
1572280561,2,0.020837,0.000000,0.000000,0.000000,events/second
1572280564,2,0.020203,0.000000,0.000000,0.000000,events/second
1572280567,2,0.019609,0.000000,0.000000,0.000000,events/second
1572280570,2,0.019049,0.000000,0.000000,0.000000,events/second
1572280573,2,0.018524,0.000000,0.000000,0.000000,events/second
