t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1572280468,69,22.111626,0.000000,0.000000,0.000000,events/second
1572280471,69,11.357708,0.000000,0.000000,0.000000,events/second
1572280475,69,7.549694,0.000000,0.000000,0.000000,events/second
1572280477,69,5.732967,0.000000,0.000000,0.000000,events/second
1572280480,69,4.585923,0.000000,0.000000,0.000000,events/second
1572280483,69,3.820209,0.000000,0.000000,0.000000,events/second
1572280486,69,3.281001,0.000000,0.000000,0.000000,events/second
1572280489,69,2.868012,0.000000,0.000000,0.000000,events/second
1572280492,69,2.550928,0.000000,0.000000,0.000000,events/second
1572280495,69,2.296022,0.000000,0.000000,0.000000,events/second
1572280498,69,2.086212,0.000000,0.000000,0.000000,events/second
1572280501,69,1.913631,0.000000,0.000000,0.000000,events/second
1572280504,69,1.768538,0.000000,0.000000,0.000000,events/second
1572280507,69,1.641183,0.000000,0.000000,0.000000,events/second
1572280510,69,1.531758,0.000000,0.000000,0.000000,events/second
1572280513,69,1.436656,0.000000,0.000000,0.000000,events/second
1572280516,69,1.352163,0.000000,0.000000,0.000000,events/second
1572280519,69,1.277075,0.000000,0.000000,0.000000,events/second
1572280522,69,1.209621,0.000000,0.000000,0.000000,events/second
1572280525,89,1.482162,0.000000,0.000000,0.000000,events/second
1572280528,89,1.412087,0.000000,0.000000,0.000000,events/second
1572280531,89,1.347645,0.000000,0.000000,0.000000,events/second
1572280534,89,1.288738,0.000000,0.000000,0.000000,events/second
1572280537,89,1.235429,0.000000,0.000000,0.000000,events/second
1572280540,89,1.186158,0.000000,0.000000,0.000000,events/second
1572280543,89,1.140453,0.000000,0.000000,0.000000,events/second
1572280546,89,1.098443,0.000000,0.000000,0.000000,events/second
1572280549,89,1.059067,0.000000,0.000000,0.000000,events/second
1572280552,89,1.022454,0.000000,0.000000,0.000000,events/second
1572280555,89,0.988516,0.000000,0.000000,0.000000,events/second
1572280558,89,0.956377,0.000000,0.000000,0.000000,events/second
1572280561,89,0.926854,0.000000,0.000000,0.000000,events/second
1572280564,89,0.898728,0.000000,0.000000,0.000000,events/second
1572280567,89,0.872191,0.000000,0.000000,0.000000,events/second
1572280570,89,0.847430,0.000000,0.000000,0.000000,events/second
1572280573,89,0.824086,0.000000,0.000000,0.000000,events/second
1572280576,89,0.801432,0.000000,0.000000,0.000000,events/second
1572280579,89,0.780391,0.000000,0.000000,0.000000,events/second
