t,value
1572280468,196624
1572280471,239632
1572280475,239772
1572280477,239772
1572280480,239772
1572280483,239772
1572280486,239772
1572280489,239772
1572280492,239772
1572280495,239772
1572280498,239772
1572280501,239772
1572280504,239772
1572280507,239772
1572280510,239772
1572280513,239772
1572280516,239772
1572280519,239772
1572280522,239772
1572280525,239772
1572280528,239772
1572280531,239772
1572280534,239772
1572280537,239772
1572280540,239772
1572280543,239772
1572280546,239772
1572280549,239772
1572280552,239772
1572280555,239772
1572280558,239772
1572280561,239772
1572280564,239772
1572280567,239772
1572280570,239772
1572280573,239772
1572280576,239772
1572280579,239772
1572280582,239772
1572280585,239772
1572280588,239772
1572280591,239772
1572280594,239772
1572280597,239772
1572280600,239772
1572280603,239772
1572280606,239772
1572280609,239772
1572280612,239772
1572280615,239772
1572280618,239772
1572280621,239772
1572280624,239772
1572280627,239772
1572280630,239772
1572280633,239772
1572280636,239772
1572280639,239772
1572280642,239772
1572280645,239772
1572280648,239772
1572280651,239772
1572280654,239772
1572280657,239772
1572280660,239772
1572280663,239772
1572280666,239772
1572280669,239772
1572280672,239772
1572280675,239772
1572280678,239772
1572280681,239772
1572280684,239772
1572280687,239772
1572280690,239772
1572280693,239772
1572280696,239772
1572280699,239772
1572280702,239772
1572280705,239772
1572280708,239772
1572280711,239772
1572280714,239772
1572280717,239772
1572280720,239772
1572280723,239772
1572280726,239772
1572280729,239772
1572280732,239772
1572280735,239772
1572280738,239772
1572280741,239772
1572280744,239772
1572280747,239772
1572280750,239772
1572280753,239772
1572280756,239772
1572280759,239772
1572280762,239772
1572280765,239772
1572280768,239772
1572280771,239772
1572280774,239772
1572280777,239772
1572280780,239772
1572280783,239772
1572280786,239772
1572280789,239772
1572280792,239772
1572280795,239772
1572280798,239772
1572280801,239772
1572280804,239772
1572280807,239772
1572280810,239772
1572280813,239772
1572280816,239772
1572280819,239772
1572280822,239772
1572280825,239772
1572280828,239772
1572280831,239772
1572280834,239772
1572280837,239772
1572280840,239772
1572280843,239772
1572280846,239772
1572280849,239772
1572280852,239772
1572280855,239772
1572280858,239772
1572280861,239772
1572280864,239772
1572280867,239772
1572280870,239772
1572280873,239772
1572280876,239772
1572280879,239772
1572280882,239772
1572280885,239772
1572280888,239772
1572280891,239772
1572280894,239772
1572280897,239772
1572280900,239772
1572280903,239772
1572280906,239772
1572280909,239772
1572280912,239772
1572280915,239772
1572280918,239772
1572280921,239772
1572280924,239772
1572280927,239772
1572280930,239772
1572280933,239772
1572280936,239772
1572280939,239772
1572280942,239772
1572280945,239772
1572280948,239772
1572280951,239772
1572280954,239772
1572280957,239772
1572280960,239772
1572280963,239772
1572280966,239772
1572280969,239772
1572280972,239772
1572280975,239772
1572280978,239772
1572280981,239772
1572280984,239772
1572280987,239772
1572280990,239772
1572280993,239772
1572280996,239772
1572280999,239772
1572281002,239772
1572281005,239772
1572281008,239772
1572281011,239772
1572281014,239772
1572281017,222348
1572281020,222348
1572281023,222348
1572281026,222348
1572281029,222348
1572281032,222348
1572281035,222348
1572281038,222348
1572281041,222348
1572281044,222348
1572281047,222348
1572281050,222348
1572281053,222348
1572281056,222348
1572281059,222348
1572281062,222348
1572281065,222348
1572281068,222348
1572281071,222348
1572281074,222348
1572281077,222348
1572281080,222348
1572281083,222348
1572281086,222348
1572281089,222348
1572281092,222348
1572281095,222348
1572281098,222348
1572281101,222348
1572281104,222348
1572281107,222348
1572281110,222348
1572281113,222348
1572281116,222348
1572281119,222348
1572281122,222348
1572281125,222348
1572281128,222348
1572281131,222348
1572281134,222348
1572281137,222348
1572281140,222348
1572281143,222348
1572281146,222348
1572281149,222348
1572281152,222348
1572281155,222348
1572281158,222348
1572281161,222348
1572281164,222348
1572281167,222348
1572281170,222348
1572281173,222348
1572281176,222348
1572281179,222348
1572281182,222348
1572281185,222348
1572281188,222348
1572281191,222348
1572281194,222348
1572281197,222348
1572281200,222348
1572281203,222348
1572281206,222348
1572281209,222348
1572281212,222348
1572281215,222348
1572281218,222348
1572281221,222348
1572281224,222348
1572281227,222348
1572281230,222348
1572281233,222348
1572281236,222348
1572281239,222348
1572281242,222348
1572281245,222348
1572281248,222348
1572281251,222348
1572281254,222348
1572281257,222348
1572281260,222348
1572281263,222348
1572281266,222348
1572281269,222348
1572281272,222348
1572281275,222348
1572281278,222348
1572281281,222348
1572281284,222348
1572281287,222348
1572281290,222348
1572281293,222348
1572281296,222348
1572281299,222348
1572281302,222348
1572281305,222348
1572281308,222348
1572281311,222348
1572281314,222348
1572281317,222348
1572281320,222348
1572281323,222348
1572281326,222348
1572281329,222348
1572281332,222348
1572281335,222348
1572281338,222348
1572281341,222348
1572281344,222348
1572281347,222348
1572281350,222348
