t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1572280468,23,7.373899,0.000000,0.000000,0.000000,events/second
1572280471,23,3.785835,0.000000,0.000000,0.000000,events/second
1572280475,23,2.516488,0.000000,0.000000,0.000000,events/second
1572280477,23,1.911392,0.000000,0.000000,0.000000,events/second
1572280480,23,1.528719,0.000000,0.000000,0.000000,events/second
1572280483,23,1.273758,0.000000,0.000000,0.000000,events/second
1572280486,23,1.093691,0.000000,0.000000,0.000000,events/second
1572280489,23,0.956019,0.000000,0.000000,0.000000,events/second
1572280492,23,0.850306,0.000000,0.000000,0.000000,events/second
1572280495,23,0.765361,0.000000,0.000000,0.000000,events/second
1572280498,23,0.695417,0.000000,0.000000,0.000000,events/second
1572280501,23,0.637904,0.000000,0.000000,0.000000,events/second
1572280504,23,0.589510,0.000000,0.000000,0.000000,events/second
1572280507,23,0.547069,0.000000,0.000000,0.000000,events/second
1572280510,23,0.510591,0.000000,0.000000,0.000000,events/second
1572280513,23,0.478884,0.000000,0.000000,0.000000,events/second
1572280516,23,0.450721,0.000000,0.000000,0.000000,events/second
1572280519,23,0.425692,0.000000,0.000000,0.000000,events/second
1572280522,23,0.403210,0.000000,0.000000,0.000000,events/second
1572280525,23,0.383036,0.000000,0.000000,0.000000,events/second
1572280528,23,0.364923,0.000000,0.000000,0.000000,events/second
1572280531,23,0.348270,0.000000,0.000000,0.000000,events/second
1572280534,23,0.333049,0.000000,0.000000,0.000000,events/second
1572280537,23,0.319270,0.000000,0.000000,0.000000,events/second
1572280540,23,0.306539,0.000000,0.000000,0.000000,events/second
1572280543,23,0.294725,0.000000,0.000000,0.000000,events/second
1572280546,23,0.283867,0.000000,0.000000,0.000000,events/second
1572280549,23,0.273695,0.000000,0.000000,0.000000,events/second
1572280552,23,0.264232,0.000000,0.000000,0.000000,events/second
1572280555,23,0.255459,0.000000,0.000000,0.000000,events/second
1572280558,23,0.247156,0.000000,0.000000,0.000000,events/second
1572280561,23,0.239527,0.000000,0.000000,0.000000,events/second
1572280564,23,0.232256,0.000000,0.000000,0.000000,events/second
1572280567,23,0.225402,0.000000,0.000000,0.000000,events/second
1572280570,23,0.218998,0.000000,0.000000,0.000000,events/second
1572280573,23,0.212966,0.000000,0.000000,0.000000,events/second
1572280576,23,0.207117,0.000000,0.000000,0.000000,events/second
1572280579,23,0.201675,0.000000,0.000000,0.000000,events/second
1572280582,23,0.196480,0.000000,0.000000,0.000000,events/second
1572280585,23,0.191632,0.000000,0.000000,0.000000,events/second
1572280588,23,0.186934,0.000000,0.000000,0.000000,events/second
1572280591,23,0.182488,0.000000,0.000000,0.000000,events/second
1572280594,23,0.178230,0.000000,0.000000,0.000000,events/second
1572280597,23,0.174226,0.000000,0.000000,0.000000,events/second
1572280600,23,0.170313,0.000000,0.000000,0.000000,events/second
1572280603,23,0.166621,0.000000,0.000000,0.000000,events/second
1572280606,23,0.163076,0.000000,0.000000,0.000000,events/second
1572280609,23,0.159657,0.000000,0.000000,0.000000,events/second
1572280612,23,0.156465,0.000000,0.000000,0.000000,events/second
1572280615,23,0.153292,0.000000,0.000000,0.000000,events/second
1572280618,23,0.150287,0.000000,0.000000,0.000000,events/second
1572280621,23,0.147400,0.000000,0.000000,0.000000,events/second
1572280624,23,0.144606,0.000000,0.000000,0.000000,events/second
1572280627,23,0.141944,0.000000,0.000000,0.000000,events/second
1572280630,23,0.139366,0.000000,0.000000,0.000000,events/second
1572280633,23,0.136878,0.000000,0.000000,0.000000,events/second
1572280636,23,0.134478,0.000000,0.000000,0.000000,events/second
1572280639,23,0.132150,0.000000,0.000000,0.000000,events/second
1572280642,23,0.129921,0.000000,0.000000,0.000000,events/second
1572280645,23,0.127763,0.000000,0.000000,0.000000,events/second
1572280648,23,0.125687,0.000000,0.000000,0.000000,events/second
1572280651,23,0.123594,0.000000,0.000000,0.000000,events/second
1572280654,23,0.121659,0.000000,0.000000,0.000000,events/second
1572280657,23,0.119763,0.000000,0.000000,0.000000,events/second
1572280660,23,0.117932,0.000000,0.000000,0.000000,events/second
1572280663,23,0.116142,0.000000,0.000000,0.000000,events/second
1572280666,23,0.114419,0.000000,0.000000,0.000000,events/second
1572280669,23,0.112725,0.000000,0.000000,0.000000,events/second
1572280672,23,0.111097,0.000000,0.000000,0.000000,events/second
1572280675,23,0.109507,0.000000,0.000000,0.000000,events/second
1572280678,23,0.107967,0.000000,0.000000,0.000000,events/second
1572280681,23,0.106463,0.000000,0.000000,0.000000,events/second
1572280684,23,0.105004,0.000000,0.000000,0.000000,events/second
1572280687,23,0.103592,0.000000,0.000000,0.000000,events/second
1572280690,23,0.102204,0.000000,0.000000,0.000000,events/second
1572280693,23,0.100852,0.000000,0.000000,0.000000,events/second
1572280696,23,0.099568,0.000000,0.000000,0.000000,events/second
1572280699,23,0.098295,0.000000,0.000000,0.000000,events/second
1572280702,23,0.097033,0.000000,0.000000,0.000000,events/second
1572280705,23,0.095825,0.000000,0.000000,0.000000,events/second
